,ra,dec
0,52.110964,-2.042556
1,3.471031,3.389028
2,3.895387,17.590239
3,4.030117,21.979837
4,9.355856,27.209589
5,10.3451,2.6679199999999996
6,10.661473,12.513245
7,33.533339,-15.613295
8,14.634073,17.801178
9,24.873195,9.010906
10,28.8779,9.011723
11,29.150439,22.869123
12,33.227775,6.862581
13,43.257887,-1.669906
14,52.895373,5.412787
15,67.961184,8.270728
16,70.986948,11.760406
17,99.705237,82.851228
18,111.867539,49.116288999999995
19,120.460128,24.6009
20,107.096289,77.623406
21,117.308706,31.328087
22,127.436362,61.493006
23,128.828042,62.064314
24,154.25955000000002,81.048764
25,132.82205,62.976712
26,139.692639,62.496967
27,143.290956,15.143325
28,144.088334,37.828853
29,144.86945,22.661587
30,145.503717,16.932306
31,145.7808,31.199828
32,149.93742799999998,20.954466999999998
33,150.888964,22.150459
34,150.91472,16.750331
35,170.261864,22.0321
36,153.86302,25.662203
37,154.747192,21.236992
38,162.005081,12.534948
39,155.519045,24.44112
40,157.006284,33.635850000000005
41,157.614331,22.738103
42,160.201848,21.891209
43,160.670003,17.461253000000003
44,162.898862,15.227423
45,163.909689,14.927428
46,166.962556,35.037362
47,171.453225,0.3611639999999987
48,200.60848399999998,3.6762369999999995
49,181.676206,5.848806
50,163.68884200000002,-5.859513000000001
51,172.824937,10.223714
52,172.895448,4.264323
53,149.546998,-1.346575
54,173.105667,5.3825
55,177.382078,16.121484
56,178.382875,63.066495
57,179.092006,67.076764
58,181.514306,81.954284
59,185.816642,16.470814
60,187.406573,61.299989
61,187.620025,20.716934
62,191.199689,7.273877000000001
63,188.288617,43.235292
64,189.349539,5.441498
65,190.59262,34.346248
66,171.38947000000002,81.53255300000001
67,190.546103,16.148625
68,193.443425,27.352428
69,193.497128,62.283673
70,197.068714,18.780217
71,202.655623,15.072139
72,202.725725,2.502159
73,203.007289,12.172034
74,206.373153,27.736737
75,210.29536199999998,-22.061504999999997
76,208.776275,11.196214
77,212.658481,26.009295
78,228.47180899999998,9.327517
79,212.988631,12.563828
80,201.150228,31.479036999999998
81,216.346342,32.898712
82,221.50382,32.212617
83,222.44815,62.578462
84,226.116437,62.390059
85,228.030978,51.110023
86,245.468959,71.848331
87,232.422612,22.971723
88,234.630975,43.034712
89,235.269937,9.015137
90,237.229462,62.414553
91,242.438298,38.580195
92,242.505006,61.519787
93,246.001339,61.350075
94,248.608259,34.073459
95,260.145242,44.00315
96,261.435853,73.902706
97,277.742217,40.900045
98,283.374209,77.91682
